INSEE_DEP;NOM_DEPT;INSEE_COM;NOM_COM;CLASSEMENT
971;Guadeloupe;97101;Abymes;Mer
971;Guadeloupe;97102;Anse-Bertrand;Mer
971;Guadeloupe;97103;Baie-Mahault;Mer
971;Guadeloupe;97104;Baillif;Mer
971;Guadeloupe;97105;Basse-Terre;Mer
971;Guadeloupe;97106;Bouillante;Mer
971;Guadeloupe;97107;Capesterre-Belle-Eau;Mer
971;Guadeloupe;97108;Capesterre-de-Marie-Galante;Mer
971;Guadeloupe;97109;Gourbeyre;Mer
971;Guadeloupe;97110;Désirade;Mer
971;Guadeloupe;97111;Deshaies;Mer
971;Guadeloupe;97112;Grand-Bourg;Mer
971;Guadeloupe;97113;Gosier;Mer
971;Guadeloupe;97114;Goyave;Mer
971;Guadeloupe;97115;Lamentin;Mer
971;Guadeloupe;97116;Morne-à-l'Eau;Mer
971;Guadeloupe;97117;Moule;Mer
971;Guadeloupe;97118;Petit-Bourg;Mer
971;Guadeloupe;97119;Petit-Canal;Mer
971;Guadeloupe;97120;Pointe-à-Pitre;Mer
971;Guadeloupe;97121;Pointe-Noire;Mer
971;Guadeloupe;97122;Port-Louis;Mer
971;Guadeloupe;97125;Saint-François;Mer
971;Guadeloupe;97126;Saint-Louis;Mer
971;Guadeloupe;97128;Sainte-Anne;Mer
971;Guadeloupe;97129;Sainte-Rose;Mer
971;Guadeloupe;97130;Terre-de-Bas;Mer
971;Guadeloupe;97131;Terre-de-Haut;Mer
971;Guadeloupe;97132;Trois-Rivières;Mer
971;Guadeloupe;97133;Vieux-Fort;Mer
971;Guadeloupe;97134;Vieux-Habitants;Mer
972;Martinique;97202;Anses-d'Arlet;Mer
972;Martinique;97203;Basse-Pointe;Mer
972;Martinique;97204;Carbet;Mer
972;Martinique;97205;Case-Pilote;Mer
972;Martinique;97206;Diamant;Mer
972;Martinique;97207;Ducos;Mer
972;Martinique;97209;Fort-de-France;Mer
972;Martinique;97210;François;Mer
972;Martinique;97211;Grand'Rivière;Mer
972;Martinique;97213;Lamentin;Mer
972;Martinique;97214;Lorrain;Mer
972;Martinique;97215;Macouba;Mer
972;Martinique;97216;Marigot;Mer
972;Martinique;97217;Marin;Mer
972;Martinique;97219;Prêcheur;Mer
972;Martinique;97220;Rivière-Pilote;Mer
972;Martinique;97221;Rivière-Salée;Mer
972;Martinique;97222;Robert;Mer
972;Martinique;97225;Saint-Pierre;Mer
972;Martinique;97226;Sainte-Anne;Mer
972;Martinique;97227;Sainte-Luce;Mer
972;Martinique;97228;Sainte-Marie;Mer
972;Martinique;97229;Schœlcher;Mer
972;Martinique;97230;Trinité;Mer
972;Martinique;97231;Trois-Îlets;Mer
972;Martinique;97232;Vauclin;Mer
972;Martinique;97234;Bellefontaine;Mer
973;Guyane;97301;Régina;Mer
973;Guyane;97302;Cayenne;Mer
973;Guyane;97303;Iracoubo;Mer
973;Guyane;97304;Kourou;Mer
973;Guyane;97305;Macouria;Mer
973;Guyane;97306;Mana;Mer
